Network,n_nodes,n_edges,seed_base,n_random,n_swaps_mult,sort_by_degree,tie_breaker,D_bio,D_random_mean,z_score,p_value,fold_reduction,axis,mean_D_sort_by_degree_true,rel_sd_D_sort_by_degree_true,rel_range_D_sort_by_degree_true,rel_range_D_sort_by_degree_false,model,seed,n_rows,n_networks,auc,ap,brier
MODEL1305240000,30.0,33.0,42.0,50.0,20.0,True,index,100.0,94.9,-2.0531826896826084,1.0,0.9490000000000001,baseline,,,,,,,,,,,
MODEL1407230001,14.0,33.0,42.0,50.0,20.0,True,index,81.0,81.64,0.2101990443519236,0.5,1.0079012345679013,baseline,,,,,,,,,,,
MODEL1411170000,10.0,15.0,42.0,50.0,20.0,True,index,46.0,50.54,1.499370896099886,0.08,1.098695652173913,baseline,,,,,,,,,,,
MODEL1411170001,18.0,68.0,42.0,50.0,20.0,True,index,104.0,106.8,0.8366600265340747,0.24,1.0269230769230768,baseline,,,,,,,,,,,
MODEL1411240000,28.0,30.0,42.0,50.0,20.0,True,index,90.0,88.5,-0.45206158100918414,0.72,0.9833333333333333,baseline,,,,,,,,,,,
MODEL1504170000,9.0,13.0,42.0,50.0,20.0,True,index,46.0,48.14,0.8158436352393947,0.34,1.046521739130435,baseline,,,,,,,,,,,
MODEL1504170001,9.0,15.0,42.0,50.0,20.0,True,index,51.0,52.42,0.5611464844186873,0.32,1.027843137254902,baseline,,,,,,,,,,,
MODEL1504170002,10.0,16.0,42.0,50.0,20.0,True,index,54.0,55.56,0.6917024963842822,0.3,1.028888888888889,baseline,,,,,,,,,,,
MODEL1504170003,10.0,14.0,42.0,50.0,20.0,True,index,47.0,52.58,3.0245790624667475,0.0,1.1187234042553191,baseline,,,,,,,,,,,
MODEL1506260000,82.0,118.0,42.0,50.0,20.0,True,index,263.0,271.78,1.8038371215569515,0.04,1.0333840304182509,baseline,,,,,,,,,,,
MODEL1506260002,45.0,94.0,42.0,50.0,20.0,True,index,151.0,186.36,8.00532871570443,0.0,1.2341721854304637,baseline,,,,,,,,,,,
MODEL1606020000,19.0,55.0,42.0,50.0,20.0,True,index,101.0,101.44,0.12635334150137453,0.5,1.0043564356435644,baseline,,,,,,,,,,,
MODEL1607310000,48.0,76.0,42.0,50.0,20.0,True,index,169.0,172.02,0.6650691834379742,0.3,1.0178698224852072,baseline,,,,,,,,,,,
MODEL1610060000,31.0,107.0,42.0,50.0,20.0,True,index,174.0,178.34,1.0695886240004804,0.16,1.0249425287356322,baseline,,,,,,,,,,,
MODEL1610060001,29.0,121.0,42.0,50.0,20.0,True,index,178.0,182.1,1.061094229793472,0.12,1.0230337078651686,baseline,,,,,,,,,,,
MODEL1611180000,26.0,66.0,42.0,50.0,20.0,True,index,130.0,134.28,1.0555327917709132,0.22,1.0329230769230768,baseline,,,,,,,,,,,
MODEL1611230001,11.0,37.0,42.0,50.0,20.0,True,index,74.0,72.6,-0.4556611884328854,0.78,0.981081081081081,baseline,,,,,,,,,,,
arabidopsis_cc,7.0,10.0,42.0,50.0,20.0,True,index,38.0,43.5,2.9440825016470407,0.0,1.144736842105263,baseline,,,,,,,,,,,
biomodels_MODEL1610240000,33.0,82.0,42.0,50.0,20.0,True,index,156.0,161.52,1.6035674514745495,0.04,1.0353846153846153,baseline,,,,,,,,,,,
biomodels_MODEL1712240002,16.0,12.0,42.0,50.0,20.0,True,index,40.0,40.0,0.0,1.0,1.0,baseline,,,,,,,,,,,
biomodels_MODEL1712240003,9.0,8.0,42.0,50.0,20.0,True,index,31.0,31.0,0.0,1.0,1.0,baseline,,,,,,,,,,,
biomodels_MODEL2002170001,56.0,175.0,42.0,50.0,20.0,True,index,292.0,296.3,0.6612255294199418,0.28,1.0147260273972603,baseline,,,,,,,,,,,
biomodels_MODEL2002190001,31.0,38.0,42.0,50.0,20.0,True,index,112.0,109.02,-0.9214223151995642,0.82,0.9733928571428571,baseline,,,,,,,,,,,
biomodels_MODEL2004040001,51.0,114.0,42.0,50.0,20.0,True,index,221.0,224.48,0.6298232474206197,0.34,1.0157466063348415,baseline,,,,,,,,,,,
biomodels_MODEL2006170002,87.0,357.0,42.0,50.0,20.0,True,index,563.0,591.14,3.494630399040776,0.0,1.0499822380106572,baseline,,,,,,,,,,,
biomodels_MODEL2101150001,82.0,176.0,42.0,50.0,20.0,True,index,360.0,352.24,-1.3520230729613316,0.94,0.9784444444444444,baseline,,,,,,,,,,,
biomodels_MODEL2304070002,46.0,194.0,42.0,50.0,20.0,True,index,281.0,295.38,3.033215306424088,0.0,1.0511743772241993,baseline,,,,,,,,,,,
biomodels_MODEL2308300001,87.0,235.0,42.0,50.0,20.0,True,index,436.0,435.84,-0.021762283174785374,0.52,0.9996330275229357,baseline,,,,,,,,,,,
drosophila_sp,13.0,16.0,42.0,50.0,20.0,True,index,57.0,60.22,1.3997883277883272,0.1,1.0564912280701755,baseline,,,,,,,,,,,
egfr_signaling,10.0,11.0,42.0,50.0,20.0,True,index,52.0,49.0,-1.5638581054280607,1.0,0.9423076923076923,baseline,,,,,,,,,,,
MODEL1305240000,30.0,33.0,42.0,50.0,20.0,True,index,100.0,94.9,-2.0531826896826084,1.0,0.9490000000000001,seed,,,,,,,,,,,
MODEL1407230001,14.0,33.0,42.0,50.0,20.0,True,index,81.0,81.64,0.2101990443519236,0.5,1.0079012345679013,seed,,,,,,,,,,,
MODEL1411170000,10.0,15.0,42.0,50.0,20.0,True,index,46.0,50.54,1.499370896099886,0.08,1.098695652173913,seed,,,,,,,,,,,
MODEL1411170001,18.0,68.0,42.0,50.0,20.0,True,index,104.0,106.8,0.8366600265340747,0.24,1.0269230769230768,seed,,,,,,,,,,,
MODEL1411240000,28.0,30.0,42.0,50.0,20.0,True,index,90.0,88.5,-0.45206158100918414,0.72,0.9833333333333333,seed,,,,,,,,,,,
MODEL1504170000,9.0,13.0,42.0,50.0,20.0,True,index,46.0,48.14,0.8158436352393947,0.34,1.046521739130435,seed,,,,,,,,,,,
MODEL1504170001,9.0,15.0,42.0,50.0,20.0,True,index,51.0,52.42,0.5611464844186873,0.32,1.027843137254902,seed,,,,,,,,,,,
MODEL1504170002,10.0,16.0,42.0,50.0,20.0,True,index,54.0,55.56,0.6917024963842822,0.3,1.028888888888889,seed,,,,,,,,,,,
MODEL1504170003,10.0,14.0,42.0,50.0,20.0,True,index,47.0,52.58,3.0245790624667475,0.0,1.1187234042553191,seed,,,,,,,,,,,
MODEL1506260000,82.0,118.0,42.0,50.0,20.0,True,index,263.0,271.78,1.8038371215569515,0.04,1.0333840304182509,seed,,,,,,,,,,,
MODEL1506260002,45.0,94.0,42.0,50.0,20.0,True,index,151.0,186.36,8.00532871570443,0.0,1.2341721854304637,seed,,,,,,,,,,,
MODEL1606020000,19.0,55.0,42.0,50.0,20.0,True,index,101.0,101.44,0.12635334150137453,0.5,1.0043564356435644,seed,,,,,,,,,,,
MODEL1607310000,48.0,76.0,42.0,50.0,20.0,True,index,169.0,172.02,0.6650691834379742,0.3,1.0178698224852072,seed,,,,,,,,,,,
MODEL1610060000,31.0,107.0,42.0,50.0,20.0,True,index,174.0,178.34,1.0695886240004804,0.16,1.0249425287356322,seed,,,,,,,,,,,
MODEL1610060001,29.0,121.0,42.0,50.0,20.0,True,index,178.0,182.1,1.061094229793472,0.12,1.0230337078651686,seed,,,,,,,,,,,
MODEL1611180000,26.0,66.0,42.0,50.0,20.0,True,index,130.0,134.28,1.0555327917709132,0.22,1.0329230769230768,seed,,,,,,,,,,,
MODEL1611230001,11.0,37.0,42.0,50.0,20.0,True,index,74.0,72.6,-0.4556611884328854,0.78,0.981081081081081,seed,,,,,,,,,,,
arabidopsis_cc,7.0,10.0,42.0,50.0,20.0,True,index,38.0,43.5,2.9440825016470407,0.0,1.144736842105263,seed,,,,,,,,,,,
biomodels_MODEL1610240000,33.0,82.0,42.0,50.0,20.0,True,index,156.0,161.52,1.6035674514745495,0.04,1.0353846153846153,seed,,,,,,,,,,,
biomodels_MODEL1712240002,16.0,12.0,42.0,50.0,20.0,True,index,40.0,40.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL1712240003,9.0,8.0,42.0,50.0,20.0,True,index,31.0,31.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL2002170001,56.0,175.0,42.0,50.0,20.0,True,index,292.0,296.3,0.6612255294199418,0.28,1.0147260273972603,seed,,,,,,,,,,,
biomodels_MODEL2002190001,31.0,38.0,42.0,50.0,20.0,True,index,112.0,109.02,-0.9214223151995642,0.82,0.9733928571428571,seed,,,,,,,,,,,
biomodels_MODEL2004040001,51.0,114.0,42.0,50.0,20.0,True,index,221.0,224.48,0.6298232474206197,0.34,1.0157466063348415,seed,,,,,,,,,,,
biomodels_MODEL2006170002,87.0,357.0,42.0,50.0,20.0,True,index,563.0,591.14,3.494630399040776,0.0,1.0499822380106572,seed,,,,,,,,,,,
biomodels_MODEL2101150001,82.0,176.0,42.0,50.0,20.0,True,index,360.0,352.24,-1.3520230729613316,0.94,0.9784444444444444,seed,,,,,,,,,,,
biomodels_MODEL2304070002,46.0,194.0,42.0,50.0,20.0,True,index,281.0,295.38,3.033215306424088,0.0,1.0511743772241993,seed,,,,,,,,,,,
biomodels_MODEL2308300001,87.0,235.0,42.0,50.0,20.0,True,index,436.0,435.84,-0.021762283174785374,0.52,0.9996330275229357,seed,,,,,,,,,,,
drosophila_sp,13.0,16.0,42.0,50.0,20.0,True,index,57.0,60.22,1.3997883277883272,0.1,1.0564912280701755,seed,,,,,,,,,,,
egfr_signaling,10.0,11.0,42.0,50.0,20.0,True,index,52.0,49.0,-1.5638581054280607,1.0,0.9423076923076923,seed,,,,,,,,,,,
MODEL1305240000,30.0,33.0,314159.0,50.0,20.0,True,index,100.0,95.28,-1.6686051514273004,0.98,0.9528,seed,,,,,,,,,,,
MODEL1407230001,14.0,33.0,314159.0,50.0,20.0,True,index,81.0,81.68,0.2264453615650121,0.42,1.0083950617283952,seed,,,,,,,,,,,
MODEL1411170000,10.0,15.0,314159.0,50.0,20.0,True,index,46.0,50.5,1.8234920215644927,0.04,1.0978260869565217,seed,,,,,,,,,,,
MODEL1411170001,18.0,68.0,314159.0,50.0,20.0,True,index,104.0,106.46,0.8089129806094827,0.28,1.023653846153846,seed,,,,,,,,,,,
MODEL1411240000,28.0,30.0,314159.0,50.0,20.0,True,index,90.0,87.54,-0.8003058134424884,0.88,0.9726666666666668,seed,,,,,,,,,,,
MODEL1504170000,9.0,13.0,314159.0,50.0,20.0,True,index,46.0,48.64,1.1913667943625414,0.14,1.057391304347826,seed,,,,,,,,,,,
MODEL1504170001,9.0,15.0,314159.0,50.0,20.0,True,index,51.0,52.02,0.4213724977930765,0.36,1.02,seed,,,,,,,,,,,
MODEL1504170002,10.0,16.0,314159.0,50.0,20.0,True,index,54.0,55.14,0.4623158427148088,0.42,1.021111111111111,seed,,,,,,,,,,,
MODEL1504170003,10.0,14.0,314159.0,50.0,20.0,True,index,47.0,52.68,4.0390488803188775,0.0,1.1208510638297873,seed,,,,,,,,,,,
MODEL1506260000,82.0,118.0,314159.0,50.0,20.0,True,index,263.0,270.3,1.7106764913944963,0.04,1.0277566539923955,seed,,,,,,,,,,,
MODEL1506260002,45.0,94.0,314159.0,50.0,20.0,True,index,151.0,186.16,9.159729290628517,0.0,1.2328476821192054,seed,,,,,,,,,,,
MODEL1606020000,19.0,55.0,314159.0,50.0,20.0,True,index,101.0,99.76,-0.4626865671641772,0.72,0.9877227722772278,seed,,,,,,,,,,,
MODEL1607310000,48.0,76.0,314159.0,50.0,20.0,True,index,169.0,173.6,1.0327304866539544,0.26,1.0272189349112426,seed,,,,,,,,,,,
MODEL1610060000,31.0,107.0,314159.0,50.0,20.0,True,index,174.0,178.04,1.0955632587773363,0.18,1.0232183908045978,seed,,,,,,,,,,,
MODEL1610060001,29.0,121.0,314159.0,50.0,20.0,True,index,178.0,182.62,0.9753783944476963,0.16,1.0259550561797752,seed,,,,,,,,,,,
MODEL1611180000,26.0,66.0,314159.0,50.0,20.0,True,index,130.0,134.66,1.1990413974372185,0.16,1.0358461538461539,seed,,,,,,,,,,,
MODEL1611230001,11.0,37.0,314159.0,50.0,20.0,True,index,74.0,72.7,-0.43118278242432767,0.76,0.9824324324324325,seed,,,,,,,,,,,
arabidopsis_cc,7.0,10.0,314159.0,50.0,20.0,True,index,38.0,43.4,3.374999999999999,0.0,1.1421052631578947,seed,,,,,,,,,,,
biomodels_MODEL1610240000,33.0,82.0,314159.0,50.0,20.0,True,index,156.0,161.44,1.3430502184259396,0.16,1.034871794871795,seed,,,,,,,,,,,
biomodels_MODEL1712240002,16.0,12.0,314159.0,50.0,20.0,True,index,40.0,40.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL1712240003,9.0,8.0,314159.0,50.0,20.0,True,index,31.0,31.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL2002170001,56.0,175.0,314159.0,50.0,20.0,True,index,292.0,295.62,0.5744179550362739,0.28,1.0123972602739726,seed,,,,,,,,,,,
biomodels_MODEL2002190001,31.0,38.0,314159.0,50.0,20.0,True,index,112.0,108.28,-1.1215406382032531,0.92,0.9667857142857142,seed,,,,,,,,,,,
biomodels_MODEL2004040001,51.0,114.0,314159.0,50.0,20.0,True,index,221.0,224.86,0.7814277535033866,0.22,1.0174660633484163,seed,,,,,,,,,,,
biomodels_MODEL2006170002,87.0,357.0,314159.0,50.0,20.0,True,index,563.0,590.38,3.4507719576271607,0.0,1.048632326820604,seed,,,,,,,,,,,
biomodels_MODEL2101150001,82.0,176.0,314159.0,50.0,20.0,True,index,360.0,350.62,-1.451595035016945,0.9,0.9739444444444445,seed,,,,,,,,,,,
biomodels_MODEL2304070002,46.0,194.0,314159.0,50.0,20.0,True,index,281.0,296.9,3.068491886595194,0.0,1.0565836298932383,seed,,,,,,,,,,,
biomodels_MODEL2308300001,87.0,235.0,314159.0,50.0,20.0,True,index,436.0,438.28,0.3233421332776271,0.36,1.005229357798165,seed,,,,,,,,,,,
drosophila_sp,13.0,16.0,314159.0,50.0,20.0,True,index,57.0,59.46,1.0779110945612376,0.22,1.043157894736842,seed,,,,,,,,,,,
egfr_signaling,10.0,11.0,314159.0,50.0,20.0,True,index,52.0,48.68,-1.5450051414286257,0.96,0.9361538461538461,seed,,,,,,,,,,,
MODEL1305240000,30.0,33.0,271828.0,50.0,20.0,True,index,100.0,95.46,-1.6770703075097937,0.98,0.9545999999999999,seed,,,,,,,,,,,
MODEL1407230001,14.0,33.0,271828.0,50.0,20.0,True,index,81.0,82.08,0.3193980484444538,0.42,1.0133333333333334,seed,,,,,,,,,,,
MODEL1411170000,10.0,15.0,271828.0,50.0,20.0,True,index,46.0,50.72,1.9801891253414476,0.06,1.102608695652174,seed,,,,,,,,,,,
MODEL1411170001,18.0,68.0,271828.0,50.0,20.0,True,index,104.0,105.82,0.5081579021545282,0.4,1.0174999999999998,seed,,,,,,,,,,,
MODEL1411240000,28.0,30.0,271828.0,50.0,20.0,True,index,90.0,87.5,-0.9208868358546967,0.9,0.9722222222222222,seed,,,,,,,,,,,
MODEL1504170000,9.0,13.0,271828.0,50.0,20.0,True,index,46.0,48.52,1.2400709882068577,0.16,1.0547826086956522,seed,,,,,,,,,,,
MODEL1504170001,9.0,15.0,271828.0,50.0,20.0,True,index,51.0,52.22,0.5585059648147669,0.38,1.023921568627451,seed,,,,,,,,,,,
MODEL1504170002,10.0,16.0,271828.0,50.0,20.0,True,index,54.0,55.0,0.4351941398892446,0.38,1.0185185185185186,seed,,,,,,,,,,,
MODEL1504170003,10.0,14.0,271828.0,50.0,20.0,True,index,47.0,52.62,3.2045820037412107,0.0,1.1195744680851063,seed,,,,,,,,,,,
MODEL1506260000,82.0,118.0,271828.0,50.0,20.0,True,index,263.0,271.32,1.857735341719149,0.0,1.0316349809885932,seed,,,,,,,,,,,
MODEL1506260002,45.0,94.0,271828.0,50.0,20.0,True,index,151.0,186.94,7.100992021810836,0.0,1.2380132450331125,seed,,,,,,,,,,,
MODEL1606020000,19.0,55.0,271828.0,50.0,20.0,True,index,101.0,100.96,-0.014435260481034135,0.5,0.9996039603960395,seed,,,,,,,,,,,
MODEL1607310000,48.0,76.0,271828.0,50.0,20.0,True,index,169.0,172.38,0.6707141385286527,0.28,1.02,seed,,,,,,,,,,,
MODEL1610060000,31.0,107.0,271828.0,50.0,20.0,True,index,174.0,178.6,0.9327731715018834,0.2,1.0264367816091953,seed,,,,,,,,,,,
MODEL1610060001,29.0,121.0,271828.0,50.0,20.0,True,index,178.0,182.4,1.0191303201465762,0.22,1.0247191011235954,seed,,,,,,,,,,,
MODEL1611180000,26.0,66.0,271828.0,50.0,20.0,True,index,130.0,133.92,1.1028653846855385,0.24,1.030153846153846,seed,,,,,,,,,,,
MODEL1611230001,11.0,37.0,271828.0,50.0,20.0,True,index,74.0,72.82,-0.37488475088534345,0.76,0.984054054054054,seed,,,,,,,,,,,
arabidopsis_cc,7.0,10.0,271828.0,50.0,20.0,True,index,38.0,43.54,3.0737958068941387,0.0,1.1457894736842105,seed,,,,,,,,,,,
biomodels_MODEL1610240000,33.0,82.0,271828.0,50.0,20.0,True,index,156.0,161.86,1.489383461025706,0.1,1.0375641025641027,seed,,,,,,,,,,,
biomodels_MODEL1712240002,16.0,12.0,271828.0,50.0,20.0,True,index,40.0,40.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL1712240003,9.0,8.0,271828.0,50.0,20.0,True,index,31.0,31.0,0.0,1.0,1.0,seed,,,,,,,,,,,
biomodels_MODEL2002170001,56.0,175.0,271828.0,50.0,20.0,True,index,292.0,296.82,0.7668434532120267,0.28,1.0165068493150684,seed,,,,,,,,,,,
biomodels_MODEL2002190001,31.0,38.0,271828.0,50.0,20.0,True,index,112.0,107.9,-1.195076276524631,0.92,0.9633928571428572,seed,,,,,,,,,,,
biomodels_MODEL2004040001,51.0,114.0,271828.0,50.0,20.0,True,index,221.0,224.72,0.731784556571184,0.28,1.0168325791855204,seed,,,,,,,,,,,
biomodels_MODEL2006170002,87.0,357.0,271828.0,50.0,20.0,True,index,563.0,591.12,3.7771141908998045,0.0,1.0499467140319716,seed,,,,,,,,,,,
biomodels_MODEL2101150001,82.0,176.0,271828.0,50.0,20.0,True,index,360.0,350.16,-1.57942373395557,0.9,0.9726666666666668,seed,,,,,,,,,,,
biomodels_MODEL2304070002,46.0,194.0,271828.0,50.0,20.0,True,index,281.0,294.8,2.242198724786927,0.02,1.0491103202846976,seed,,,,,,,,,,,
biomodels_MODEL2308300001,87.0,235.0,271828.0,50.0,20.0,True,index,436.0,439.3,0.4450933148691879,0.42,1.0075688073394495,seed,,,,,,,,,,,
drosophila_sp,13.0,16.0,271828.0,50.0,20.0,True,index,57.0,59.88,1.3752383628092044,0.12,1.0505263157894738,seed,,,,,,,,,,,
egfr_signaling,10.0,11.0,271828.0,50.0,20.0,True,index,52.0,48.84,-1.4401774197411694,0.96,0.9392307692307693,seed,,,,,,,,,,,
MODEL1305240000,30.0,33.0,42.0,10.0,20.0,True,index,100.0,94.9,-2.306299721395284,1.0,0.9490000000000001,n_random,,,,,,,,,,,
MODEL1407230001,14.0,33.0,42.0,10.0,20.0,True,index,81.0,81.3,0.08515994337054812,0.6,1.0037037037037038,n_random,,,,,,,,,,,
MODEL1411170000,10.0,15.0,42.0,10.0,20.0,True,index,46.0,49.7,1.6870547845739483,0.0,1.0804347826086957,n_random,,,,,,,,,,,
MODEL1411170001,18.0,68.0,42.0,10.0,20.0,True,index,104.0,105.9,0.6764179117834612,0.3,1.018269230769231,n_random,,,,,,,,,,,
MODEL1411240000,28.0,30.0,42.0,10.0,20.0,True,index,90.0,88.8,-0.37647348308289597,0.6,0.9866666666666666,n_random,,,,,,,,,,,
